,Name,Description,Address,Neighborhoods,Rental listings,Year built,Structure,Web,Leasing Manager,Manager Phone,Phone
97,102 Charlton Street,102 Charlton Street is a   low-rise  walk-up  building.,"102 Charlton Street,  New York, NY 10014","Hudson Square, SoHo,   Manhattan",(no current listings),1900,4 floors 16 units,,,,
98,102 Forsyth Street,102 Forsyth Street is a   low-rise  walk-up  building.,"102 Forsyth Street,  New York, NY 10002","Chinatown,   Manhattan",(no current listings),1900,5 floors 19 units,,,,
99,102 Norfolk Street,102 Norfolk Street is a   mid-rise  walk-up  building.,"102 Norfolk Street,  New York, NY 10002","Lower East Side,   Manhattan",3 no-fee ads,1910,6 floors 25 units,,,,
100,102 St. Marks Place,102 St. Marks Place is a   low-rise  walk-up  building.,"102 St. Marks Place,  New York, NY 10009","East Village,   Manhattan",2 no-fee ads,1900,5 floors 17 units,,Jakobson Properties,212-533-1300,
101,103 Allen Street,103 Allen Street is a   low-rise  walk-up  building.,"103 Allen Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,5 floors 16 units,,,,
102,103 Charles Street,103 Charles Street is a   low-rise  landmark walk-up  building.,"103 Charles Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1901,5 floors 20 units,,,,
103,103 East 2nd Street,103 East 2nd Street is a   low-rise  walk-up  building.,"103 East 2nd Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),1900,5 floors 19 units,,,,
104,103 MacDougal Street,103 MacDougal Street is a  turn-of-the-century  mid-rise  landmark walk-up  building.,"103 MacDougal Street,  New York, NY 10012","Central Village,   Manhattan",3 no-fee ads,1900,7 floors 36 units,,,,
105,103 St. Marks Place,103 St. Marks Place is a   mid-rise  walk-up  building.,"103 St. Marks Place,  New York, NY 10009","East Village,   Manhattan",(no current listings),1920,6 floors 21 units,,,,
106,103 Stanton Street,103 Stanton Street is a   mid-rise  walk-up  building.,"103 Stanton Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,6 floors 15 units,,,,
107,104 East 4th Street,104 East 4th Street is a   low-rise  walk-up  building.,"104 East 4th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 28 units,,,,
108,104 East 7th Street,"“104 East 7th Street is a five story pre war walkup building located in the heart of the East Village between First Avenue and Avenue A. Amenities include a live-in super, laundry, private storage, and virtual doorman system. Ideally located, the building is surrounded by fabulous up and coming dining and nightlife, and is a short walk to Greenwich Village, the Lower East Side, NoHo, Tompkins Square Park, and the Bowery.	 ”","104 East 7th Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),1900,5 floors 16 units,,Westminster City Living,212-533-2224,
109,104 Forsyth Street,104 Forsyth Street is a   low-rise  walk-up  building.,"104 Forsyth Street,  New York, NY 10002","Chinatown,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
110,104 Second Avenue,104 Second Avenue is a   mid-rise  landmark elevator  building.    The apartments  have  high ceilings.,"104 Second Avenue,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,8 floors 30 units,,,,
111,104 Suffolk Street,104 Suffolk Street is a   low-rise  walk-up  building.,"104 Suffolk Street,  New York, NY 10002","Lower East Side,   Manhattan",1 no-fee ad,1920,5 floors 20 units,,"A.D. Real Estate Investors, Inc",516-487-9516,
112,104 Sullivan Street,104 Sullivan Street is a   mid-rise  landmark walk-up  building.,"104 Sullivan Street,  106 Sullivan Street,  New York, NY 10012","SoHo,   Manhattan",1 no-fee ad,1910,6 floors 35 units,,,,
113,105 East 10th Street,105 East 10th Street is a   low-rise  walk-up  building.,"105 East 10th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,5 floors 20 units,,,,
114,105 MacDougal Street,105 MacDougal Street is a  turn-of-the-century  mid-rise  walk-up  building.,"105 MacDougal Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1900,7 floors 36 units,,,,
115,105 Thompson Street,105 Thompson Street is a   mid-rise  walk-up  building.,"105 Thompson Street,  New York, NY 10012","SoHo,   Manhattan",1 no-fee ad,1920,6 floors 24 units,,,,
116,106 Charles Street,106 Charles Street is a   low-rise  landmark walk-up  building.,"106 Charles Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1920,5 floors 20 units,,,,
117,106 Fulton Street,106 Fulton Street is a  turn-of-the-century  high-rise  elevator  building.   The building's amenities include a laundry.,"106 Fulton Street,  New York, NY 10038","Financial District,   Manhattan",(no current listings),1900,15 floors 84 units,,,,
118,106 Macdougal Street,106 Macdougal Street is a   mid-rise  walk-up  building.,"106 Macdougal Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1900,6 floors 22 units,,,,
119,106 Mulberry Street,106 Mulberry Street is a   mid-rise  walk-up  building.,"106 Mulberry Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1915,6 floors 33 units,,,,
120,106 Norfolk Street,106 Norfolk Street is a   mid-rise  walk-up  building.,"106 Norfolk Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1910,6 floors 28 units,,,,
121,106 Ridge Street,106 Ridge Street is a   mid-rise  walk-up  building.,"106 Ridge Street,  New York, NY 10002","Lower East Side,   Manhattan",6 no-fee ads,1914,6 floors 20 units,,,,
122,106 West 13th Street,106 West 13th Street is a   mid-rise  landmark walk-up  building.   The building's amenities include a laundry.,"106 West 13th Street,  New York, NY 10011","Central Village,   Manhattan",(no current listings),1910,6 floors 30 units,,,,
123,107 Christopher Street,107 Christopher Street is a   mid-rise  landmark walk-up  building.,"107 Christopher Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1905,6 floors 22 units,,,,
124,107 East 10th Street,107 East 10th Street is a   low-rise  walk-up  building.,"107 East 10th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,5 floors 20 units,,,,
125,107 St. Marks Place,107 St. Marks Place is a   low-rise  elevator  building.,"107 St. Marks Place,  New York, NY 10009","East Village,   Manhattan",(no current listings),1920,5 floors 48 units,,,,
126,107 St. Mark's Place,107 St. Mark's Place is a   mid-rise  elevator  building.,"107 St. Mark's Place,  New York, NY 10009","East Village,   Manhattan",2 no-fee ads,1920,6 floors 48 units,,"Gatsby Enterprises, LLC",,
127,107 Thompson Street,107 Thompson Street is a   mid-rise  walk-up  building.,"107 Thompson Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1900,6 floors 22 units,,,,
128,108 Bayard Street,108 Bayard Street is a   mid-rise  elevator  building.,"108 Bayard Street,  New York, NY 10013","Chinatown,   Manhattan",(no current listings),1915,7 floors 48 units,,,,
129,108 Charles Street,108 Charles Street is a   low-rise  walk-up  building.,"108 Charles Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),,5 floors 20 units,,Beach Lane Management Inc,914-997-2435,
130,108 Leonard Street,"108 Leonard Street is a  pre-war  high-rise  landmark doorman elevator  building.   The building's amenities include a gym, a pool, and a children's play room.","108 Leonard Street,  New York, NY 10013","Civic Center,   Manhattan",(no current listings),1920,13 floors 151 units,www.108leonard.com,,,
131,108 Ludlow Street,108 Ludlow Street is a  modern  mid-rise  elevator  building.,"108 Ludlow Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1986,6 floors 21 units,,,,
132,109 Ludlow Street,109 Ludlow Street is a   mid-rise  walk-up  building.,"109 Ludlow Street,  New York, NY 10002","Lower East Side,   Manhattan",3 no-fee ads,1920,6 floors 24 units,,,,
133,109 Madison Street,109 Madison Street is a   low-rise  walk-up  building.,"109 Madison Street,  New York, NY 10002","Chinatown, Two Bridges,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
134,109 St. Marks Place,109 St. Marks Place is a   mid-rise  walk-up  building.,"109 St. Marks Place,  New York, NY 10009","East Village,   Manhattan",(no current listings),1920,6 floors 25 units,,,,
135,109 Washington Street,109 Washington Street is a   low-rise  walk-up  building.,"109 Washington Street,  New York, NY 10006","Financial District,   Manhattan",(no current listings),1915,5 floors 16 units,,,,
136,11 Jones Street,11 Jones Street is a   low-rise  landmark walk-up  building.    The apartments  have  high ceilings.,"11 Jones Street,  New York, NY 10014","Central Village,   Manhattan",2 no-fee ads,1900,5 floors 20 units,,Jakobson Properties,212-533-1300,
137,11 Maiden Lane,11 Maiden Lane is a  turn-of-the-century  high-rise  elevator  building.   The building's amenities include a laundry.,"11 Maiden Lane,  New York, NY 10038","Financial District,   Manhattan",(no current listings),1900,15 floors 65 units,,,,
138,11 St. Marks Place,11 St. Marks Place is a   low-rise  walk-up  building.,"11 St. Marks Place,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 18 units,,,,
139,11 Stanton Street,11 Stanton Street is a   low-rise  walk-up  building.,"11 Stanton Street,  New York, NY 10002","Lower East Side,   Manhattan",3 no-fee ads,1900,5 floors 18 units,,,,
140,11 Waverly Place,11 Waverly Place is a  pre-war  mid-rise  doorman elevator  building.   The building's amenities include a laundry.  The apartments  have  high ceilings.,"11 Waverly Place,  New York, NY 10003","Central Village,   Manhattan",13 no-fee ads,1929,12 floors 152 units,,Jakobson Properties,212-533-1300,
141,11 West 8th Street,11 West 8th Street is a   mid-rise  landmark elevator  building.   The building's amenities include a laundry.  The apartments  have  high ceilings.,"11 West 8th Street,  New York, NY 10011","Central Village,   Manhattan",2 no-fee ads,1920,6 floors 31 units,,Sky Management,212-759-1300,
142,110 Bedford Street,110 Bedford Street is a   low-rise  landmark walk-up  building.,"110 Bedford Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1890,5 floors 34 units,,,,
143,110 Christopher Street,110 Christopher Street is a   low-rise  landmark elevator  building.,"110 Christopher Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1929,5 floors 30 units,,,,
144,110 East 13th Street,110 East 13th Street is a   mid-rise  elevator  building.,"110 East 13th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 20 units,,,,
145,110 East 1st Street,110 East 1st Street is a   mid-rise  walk-up  building.,"110 East 1st Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),1900,6 floors 24 units,,,,
146,110 East 7th Street,110 East 7th Street is a   mid-rise  landmark walk-up  building.    The apartments  have  high ceilings.  Rent includes heat.,"110 East 7th Street,  New York, NY 10009","East Village,   Manhattan",2 no-fee ads,1890  (approximate),6 floors 23 units,,Jakobson Properties,212-533-1300,
